,backend server location,organization data,time (secs)
0,oregon,singapore,0.5509118539999998
1,oregon,singapore,0.5302880809999997
2,oregon,singapore,0.6499750850000003
3,oregon,singapore,0.5811241470000006
4,oregon,singapore,0.5449021389999995
5,oregon,singapore,0.6148464100000002
6,oregon,singapore,0.6107753559999995
7,oregon,singapore,0.6175962310000003
8,oregon,singapore,0.5245334470000005
9,oregon,singapore,0.5614764690000005
10,oregon,oregon,0.549914338999999
11,oregon,oregon,0.5311103740000007
12,oregon,oregon,0.5691493419999993
13,oregon,oregon,0.5205738679999996
14,oregon,oregon,0.5311796859999998
15,oregon,oregon,0.5801949919999991
16,oregon,oregon,0.6489245790000009
17,oregon,oregon,0.6143820640000008
18,oregon,oregon,0.5288994799999998
19,oregon,oregon,0.5977942360000004
